row_id,citation_key,lineage_id,band_id,spin,parity,egamma_keV,tau_ps,tau_minus_ps,tau_plus_ps,tau_bound,qt_eb,qt_minus_eb,qt_plus_eb,qt_bound,k_assumption,quantity_kind,evidence_role,locator,notes
S15,singh_2016_Lifetimemeasurements,singh2016-current,band1-nd,15/2,-,510,9.6,3.8,1.9,,2.93,0.30,0.60,,0.5,Qt,direct,PDF p.5 Table 1,RDDS/DSAM current work
S19,singh_2016_Lifetimemeasurements,singh2016-current,band1-nd,19/2,-,642,7.31,,,upper,1.90,,,lower,0.5,Qt,direct,PDF p.5 Table 1,paired one-sided limits
S23,singh_2016_Lifetimemeasurements,singh2016-current,band1-nd,23/2,-,750,1.3,,,lower,2.85,,,upper,0.5,Qt,direct,PDF p.5 Table 1,paired one-sided limits
S27,singh_2016_Lifetimemeasurements,singh2016-current,band1-nd,27/2,-,827,1.25,0.25,0.41,,2.26,0.23,0.37,,0.5,Qt,direct,PDF p.5 Table 1,DSAM current work
S31,singh_2016_Lifetimemeasurements,singh2016-current,band1-nd,31/2,-,892,0.51,0.05,0.05,,2.66,0.12,0.13,,0.5,Qt,direct,PDF p.5 Table 1,DSAM current work
S35,singh_2016_Lifetimemeasurements,singh2016-current,band1-nd,35/2,-,922,0.60,0.10,0.11,,2.43,0.20,0.22,,0.5,Qt,direct,PDF p.5 Table 1,DSAM current work
S39,singh_2016_Lifetimemeasurements,singh2016-current,band1-nd,39/2,-,962,0.54,,,upper,2.29,,,lower,0.5,Qt,direct,PDF p.5 Table 1,paired one-sided limits
L19,guang-sheng_2004_LifetimesExcited,li2004-original,band1-nd,19/2,-,642,4.0,,,lower,3.81,,,upper,4.5,Qt,direct-visual,PDF p.3 Table 1,original table
L23,guang-sheng_2004_LifetimesExcited,li2004-original,band1-nd,23/2,-,750,1.44,0.54,0.54,,3.55,0.67,0.67,,4.5,Qt,direct-visual,PDF p.3 Table 1,original table
L27,guang-sheng_2004_LifetimesExcited,li2004-original,band1-nd,27/2,-,827,1.23,0.23,0.23,,2.72,0.26,0.26,,4.5,Qt,direct-visual,PDF p.3 Table 1,original table
L31,guang-sheng_2004_LifetimesExcited,li2004-original,band1-nd,31/2,-,892,1.04,,,upper,2.31,,,lower,4.5,Qt,direct-visual,PDF p.3 Table 1,original table
LP13,guang-sheng_2004_LifetimesExcited,li2004-original,positive-nd,13/2,+,610,1.46,0.56,0.56,,7.04,1.35,1.35,,3.5,Qt,direct-visual,PDF p.3 Table 1,original table
LP17,guang-sheng_2004_LifetimesExcited,li2004-original,positive-nd,17/2,+,725,1.32,0.10,0.10,,3.80,0.14,0.14,,3.5,Qt,direct-visual,PDF p.3 Table 1,original table
LP21,guang-sheng_2004_LifetimesExcited,li2004-original,positive-nd,21/2,+,796,0.60,0.26,0.26,,4.06,0.88,0.88,,3.5,Qt,direct-visual,PDF p.3 Table 1,original table
LP25,guang-sheng_2004_LifetimesExcited,li2004-original,positive-nd,25/2,+,649,2.19,,,upper,3.36,,,lower,3.5,Qt,direct-visual,PDF p.3 Table 1,original table
PHD,petrache_1998_Lifetimemeasurements,petrache1998-original,hd-independent,,,,,,,,7.3,0.4,0.4,,0,Q0,direct,PDF p.3 Table I,aggregate HD band Q0; Qsf=6(1) eb; beta2=0.38(2) assumes axiality
