pair_id,band,initial_spin,initial_parity,branch,final_spin,final_band,egamma_keV,intensity,intensity_unc,multipolarity,delta_status,locator
b1_15,1,15/2,-,E2,11/2,1,507.9,100,0,E2,not_applicable,Table 4.1
b1_15,1,15/2,-,M1,13/2,1,171.8,26.0,1.6,M1/E2,unknown_assumed_zero,Table 4.2
b1_19,1,19/2,-,E2,15/2,1,641.2,75.5,3.1,E2,not_applicable,Table 4.1
b1_19,1,19/2,-,M1,17/2,1,154.8,10.2,0.6,M1/E2,unknown_assumed_zero,Table 4.2
b1_27,1,27/2,-,E2,23/2,1,825.4,38.2,1.8,E2,not_applicable,Table 4.1
b1_27,1,27/2,-,M1,25/2,1,216.7,8.2,0.6,M1/E2,unknown_assumed_zero,Table 4.2
b1_29,1,29/2,-,E2,25/2,1,473.8,4.0,0.3,E2,not_applicable,Table 4.1
b1_29,1,29/2,-,M1,27/2,1,255.4,36.0,1.8,M1/E2,unknown_assumed_zero,Table 4.2
b1_31,1,31/2,-,E2,27/2,1,780.6,12.1,0.6,E2,not_applicable,Table 4.1
b1_31,1,31/2,-,M1,29/2,1,272.7,28.3,1.2,M1/E2,unknown_assumed_zero,Table 4.2
b1_33,1,33/2,-,E2,29/2,1,607.5,26.1,1.5,E2,not_applicable,Table 4.1
b1_33,1,33/2,-,M1,31/2,1,333.1,25.0,1.3,M1/E2,unknown_assumed_zero,Table 4.2
b1_35,1,35/2,-,E2,31/2,1,691.4,34.2,0.9,E2,not_applicable,Table 4.1
b1_35,1,35/2,-,M1,33/2,1,356.7,21.0,1.1,M1/E2,unknown_assumed_zero,Table 4.2
b1_37,1,37/2,-,E2,33/2,1,755.4,15.7,0.9,E2,not_applicable,Table 4.1
b1_37,1,37/2,-,M1,35/2,1,396.7,14.7,0.8,M1/E2,unknown_assumed_zero,Table 4.2
b1_39,1,39/2,-,E2,35/2,1,829.3,21.1,1.3,E2,not_applicable,Table 4.1
b1_39,1,39/2,-,M1,37/2,1,430.4,10.7,0.4,M1/E2,unknown_assumed_zero,Table 4.2
b1_41,1,41/2,-,E2,37/2,1,887.3,11.7,0.6,E2,not_applicable,Table 4.1
b1_41,1,41/2,-,M1,39/2,1,454.2,10.2,0.3,M1/E2,unknown_assumed_zero,Table 4.2
b1_43,1,43/2,-,E2,39/2,1,947.4,11.2,1.1,E2,not_applicable,Table 4.1
b1_43,1,43/2,-,M1,41/2,1,494.1,6.6,0.6,M1/E2,unknown_assumed_zero,Table 4.2
b1_45,1,45/2,-,E2,41/2,1,1008.8,8.0,0.4,E2,not_applicable,Table 4.1
b1_45,1,45/2,-,M1,43/2,1,515.3,6.1,0.5,M1/E2,unknown_assumed_zero,Table 4.2
b1_47,1,47/2,-,E2,43/2,1,1062.0,9.5,0.9,E2,not_applicable,Table 4.1
b1_47,1,47/2,-,M1,45/2,1,544.9,6.0,0.6,M1/E2,unknown_assumed_zero,Table 4.2
b2_11,2,11/2,+,E2,7/2,2,542.2,22.9,1.3,E2,not_applicable,Table 4.5
b2_11,2,11/2,+,M1,9/2,2,285.1,39.3,1.7,M1/E2,unknown_assumed_zero,Table 4.6
b2_15,2,15/2,+,E2,11/2,2,667.6,29.1,1.4,E2,not_applicable,Table 4.5
b2_15,2,15/2,+,M1,13/2,2,410.1,22.1,1.3,M1/E2,unknown_assumed_zero,Table 4.6
b2_23,2,23/2,+,E2,19/2,2,783.4,16.7,0.6,E2,not_applicable,Table 4.5
b2_23,2,23/2,+,M1,21/2,2,372.9,22.0,0.9,M1/E2,unknown_assumed_zero,Table 4.6
b2_27,2,27/2,+,E2,23/2,2,509.1,10.5,0.4,E2,not_applicable,Table 4.5
b2_27,2,27/2,+,M1,25/2,2,235.3,20.3,0.9,M1/E2,unknown_assumed_zero,Table 4.6
b2_29,2,29/2,+,E2,25/2,2,502.1,11.2,0.6,E2,not_applicable,Table 4.5
b2_29,2,29/2,+,M1,27/2,2,266.1,20.0,1.1,M1/E2,unknown_assumed_zero,Table 4.6
b2_31,2,31/2,+,E2,27/2,2,566.2,10.0,0.5,E2,not_applicable,Table 4.5
b2_31,2,31/2,+,M1,29/2,2,299.4,25.4,1.5,M1/E2,unknown_assumed_zero,Table 4.6
b2_33,2,33/2,+,E2,29/2,2,635.7,12.0,0.4,E2,not_applicable,Table 4.5
b2_33,2,33/2,+,M1,31/2,2,336.4,20.2,0.8,M1/E2,unknown_assumed_zero,Table 4.6
b2_35,2,35/2,+,E2,31/2,2,707.4,10.1,0.3,E2,not_applicable,Table 4.5
b2_35,2,35/2,+,M1,33/2,2,370.1,14.3,0.6,M1/E2,unknown_assumed_zero,Table 4.6
b2_37,2,37/2,+,E2,33/2,2,775.6,10.7,0.6,E2,not_applicable,Table 4.5
b2_37,2,37/2,+,M1,35/2,2,404.8,6.4,0.5,M1/E2,unknown_assumed_zero,Table 4.6
b2_39,2,39/2,+,E2,35/2,2,839.4,8.9,0.8,E2,not_applicable,Table 4.5
b2_39,2,39/2,+,M1,37/2,2,432.9,7.1,0.4,M1/E2,unknown_assumed_zero,Table 4.6
b2_41,2,41/2,+,E2,37/2,2,904.6,11.2,0.5,E2,not_applicable,Table 4.5
b2_41,2,41/2,+,M1,39/2,2,469.9,5.6,0.6,M1/E2,unknown_assumed_zero,Table 4.6
b2_43,2,43/2,+,E2,39/2,2,960.8,8.5,0.7,E2,not_applicable,Table 4.5
b2_43,2,43/2,+,M1,41/2,2,490.3,4.2,0.3,M1/E2,unknown_assumed_zero,Table 4.6
b5_25,5,25/2,+,E2,21/2,5,402.5,4.1,0.4,E2,not_applicable,Table 4.7
b5_25,5,25/2,+,M1,23/2,5,223.1,20.0,1.1,M1/E2,unknown_assumed_zero,Table 4.7
b5_27,5,27/2,+,E2,23/2,5,695.1,10.1,0.6,E2,not_applicable,Table 4.7
b5_27,5,27/2,+,M1,25/2,5,287.7,16.2,0.8,M1/E2,unknown_assumed_zero,Table 4.7
b5_31,5,31/2,+,E2,27/2,5,851.3,10.0,0.4,E2,not_applicable,Table 4.7
b5_31,5,31/2,+,M1,29/2,5,370.1,12.1,0.5,M1/E2,unknown_assumed_zero,Table 4.7
b5_33,5,33/2,+,E2,29/2,5,791.2,5.3,0.3,E2,not_applicable,Table 4.7
b5_33,5,33/2,+,M1,31/2,5,418.2,9.3,0.7,M1/E2,unknown_assumed_zero,Table 4.7
